Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
219,Dwayne Polee,SG,23,LAC,1,0,6.0,1.0,4.0,.250,0.0,3.0,.000,1.0,1.0,1.000,.250,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,poleedw01
220,Ben Poquette,PF,31,TOT,58,2,10.4,1.1,2.1,.508,0.0,0.1,.000,1.1,2.0,.525,.508,0.7,0.9,.800,0.5,1.2,1.7,0.6,0.2,0.6,0.4,1.3,2.8,poquebe01
220,Ben Poquette,PF,31,CLE,37,1,11.8,1.1,2.2,.500,0.0,0.1,.000,1.1,2.1,.519,.500,0.8,1.1,.795,0.5,1.5,2.1,0.8,0.2,0.6,0.5,1.4,3.1,poquebe01
220,Ben Poquette,PF,31,CHI,21,1,8.0,1.0,1.9,.525,0.0,0.0,.000,1.0,1.9,.538,.525,0.4,0.5,.818,0.5,0.7,1.1,0.3,0.1,0.6,0.2,1.2,2.4,poquebe01
221,Terry Porter,PG,23,POR,80,80,33.9,4.7,9.6,.488,0.2,0.8,.217,4.5,8.9,.511,.497,3.5,4.2,.838,0.9,3.3,4.2,8.9,2.0,0.1,3.2,2.4,13.1,portete01
222,Paul Pressey,SF,28,MIL,61,60,33.7,4.8,10.1,.477,0.3,0.9,.291,4.6,9.2,.496,.490,4.0,5.4,.738,1.6,3.2,4.9,7.2,1.8,0.8,3.0,3.5,13.9,presspa01
223,Harold Pressley,SF,23,SAC,67,23,13.6,2.0,4.7,.423,0.1,0.4,.250,1.9,4.3,.439,.434,0.5,0.7,.729,1.0,1.6,2.6,1.8,0.6,0.3,0.9,1.4,4.6,pressha01
224,Mark Price,PG,22,CLE,67,0,18.2,2.6,6.3,.408,0.3,1.0,.329,2.2,5.3,.424,.435,1.4,1.7,.833,0.5,1.3,1.7,3.0,0.6,0.1,1.6,1.1,6.9,pricema01
225,Kurt Rambis,PF,28,LAL,78,10,19.4,2.1,4.0,.521,0.0,0.0,,2.1,4.0,.521,.521,1.5,2.0,.764,2.0,3.8,5.8,0.8,0.9,0.5,1.3,2.6,5.7,rambiku01
226,Blair Rasmussen,C,24,DEN,74,23,19.2,3.6,7.7,.470,0.0,0.0,,3.6,7.7,.470,.470,2.3,3.1,.732,2.5,3.8,6.3,0.8,0.3,0.8,1.1,3.0,9.5,rasmubl01
227,Robert Reid,SG,31,HOU,75,63,34.6,5.6,13.4,.417,0.7,2.2,.327,4.9,11.3,.435,.444,1.8,2.4,.768,0.6,3.2,3.9,4.3,1.0,0.3,1.4,3.1,13.7,reidro01
228,Jerry Reynolds,SF,24,MIL,58,24,16.6,2.4,6.1,.393,0.1,0.3,.333,2.3,5.8,.396,.402,2.0,3.2,.641,1.2,1.7,3.0,1.8,0.9,0.5,1.4,1.6,7.0,reynoje01
229,Clint Richardson,SG,30,IND,78,14,17.9,2.8,6.0,.467,0.1,0.2,.353,2.7,5.8,.471,.473,0.8,0.9,.797,0.7,1.2,1.8,3.1,0.6,0.1,1.1,1.4,6.4,richacl01
230,Doc Rivers,PG,25,ATL,82,82,31.6,4.2,9.2,.451,0.0,0.3,.190,4.1,9.0,.459,.454,4.5,5.4,.828,1.0,2.6,3.6,10.0,2.1,0.4,2.6,3.5,12.8,riverdo01
231,Fred Roberts,PF,26,BOS,73,11,14.8,1.9,3.7,.515,0.0,0.0,.000,1.9,3.7,.521,.515,1.7,2.1,.810,0.7,1.9,2.6,0.8,0.3,0.3,1.2,1.8,5.5,roberfr01
232,Alvin Robertson,SG,24,SAS,81,78,33.3,7.3,15.6,.466,0.2,0.6,.271,7.1,15.0,.474,.471,3.0,4.0,.753,2.3,2.9,5.2,5.2,3.2,0.4,3.0,3.3,17.7,roberal01
233,Cliff Robinson,PF,26,PHI,55,30,28.8,6.1,13.3,.464,0.0,0.1,.000,6.1,13.2,.466,.464,2.5,3.3,.755,1.6,4.0,5.6,1.6,1.6,0.5,2.2,2.7,14.8,robincl01
234,Dennis Rodman*,SF,25,DET,77,1,15.0,2.8,5.1,.545,0.0,0.0,.000,2.8,5.1,.546,.545,1.0,1.6,.587,2.1,2.2,4.3,0.7,0.5,0.6,1.2,2.2,6.5,rodmade01
235,Johnny Rogers,PF,23,SAC,45,15,10.4,2.0,4.1,.486,0.0,0.1,.000,2.0,4.0,.500,.486,0.2,0.3,.600,0.7,1.0,1.7,0.6,0.2,0.2,0.4,1.5,4.2,rogerjo01
236,Tree Rollins,C,31,ATL,75,58,23.5,2.3,4.2,.546,0.0,0.0,,2.3,4.2,.546,.546,0.8,1.2,.724,2.1,4.4,6.5,0.3,0.6,1.9,0.8,3.2,5.4,rollitr01
237,Dan Roundfield,PF,33,WSB,36,0,18.6,2.5,6.1,.409,0.0,0.1,.200,2.5,6.0,.414,.411,1.6,2.0,.792,1.8,2.9,4.7,1.1,0.3,0.4,1.4,2.1,6.6,roundda01
238,Ron Rowan,SG,24,POR,7,0,2.3,0.6,1.3,.444,0.1,0.1,1.000,0.4,1.1,.375,.500,0.4,0.6,.750,0.1,0.0,0.1,0.1,0.6,0.0,0.4,0.1,1.7,rowanro01
239,Jeff Ruland,PF,28,PHI,5,2,23.2,3.8,5.6,.679,0.0,0.0,,3.8,5.6,.679,.679,1.8,2.4,.750,2.4,3.2,5.6,2.0,0.0,0.8,2.0,2.6,9.4,rulanje01
240,Walker Russell,PG,26,IND,48,0,10.6,1.3,3.4,.388,0.0,0.3,.125,1.3,3.1,.416,.394,0.6,0.8,.730,0.4,0.8,1.1,2.7,0.4,0.1,1.3,1.3,3.3,russewa01
241,John Salley,C,22,DET,82,2,17.8,2.0,3.5,.562,0.0,0.0,.000,2.0,3.5,.564,.562,1.3,2.1,.614,1.3,2.3,3.6,0.7,0.5,1.5,0.9,3.1,5.3,sallejo01
242,Ralph Sampson*,PF,26,HOU,43,32,30.8,6.4,13.2,.489,0.0,0.1,.000,6.4,13.1,.492,.489,2.7,4.4,.624,2.0,6.6,8.7,2.8,0.9,1.3,2.9,3.9,15.6,sampsra01
243,Mike Sanders,SF,26,PHO,82,4,20.2,4.4,8.8,.494,0.0,0.2,.118,4.3,8.6,.504,.496,1.7,2.2,.781,1.2,2.1,3.3,1.5,0.7,0.3,1.3,2.6,10.5,sandemi01
244,Danny Schayes,C,27,DEN,76,41,20.5,2.8,5.3,.519,0.0,0.0,,2.8,5.3,.519,.519,3.0,3.9,.779,1.6,3.4,5.0,1.1,0.3,1.0,1.3,3.5,8.5,schayda01
245,Russ Schoene,PF,26,SEA,63,0,9.2,1.1,3.0,.374,0.0,0.2,.154,1.1,2.8,.390,.379,0.5,0.7,.630,0.8,1.0,1.9,0.4,0.3,0.2,0.7,1.5,2.7,schoeru01
246,Detlef Schrempf,SF,24,DAL,81,5,21.1,3.3,6.9,.472,0.4,0.9,.478,2.9,6.1,.472,.502,2.4,3.2,.742,1.1,2.7,3.7,2.0,0.6,0.2,1.4,2.8,9.3,schrede01
247,John Schweitz,SG,26,DET,3,0,2.3,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,.000,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.7,0.7,0.0,schwejo01
248,Byron Scott,SG,25,LAL,82,82,33.3,6.8,13.8,.489,0.8,1.8,.436,6.0,12.0,.496,.517,2.7,3.1,.892,0.8,2.7,3.5,3.4,1.5,0.2,1.8,2.0,17.0,scottby01
249,Carey Scurry,SF,24,UTA,69,5,10.9,1.8,3.6,.498,0.1,0.2,.308,1.7,3.4,.509,.506,1.4,1.9,.701,1.4,1.5,2.9,0.8,0.8,0.8,0.8,1.8,5.0,scurrca01
